1969,1 MHz
1971,740 kHz
1972,200 kHz
1972,400 kHz
1972,500 kHz
1973,1 MHz
1973,2 MHz
1973,715 kHz
1974,1.33 MHz
1974,1.4 MHz
1974,1 MHz
1974,2 MHz
1974,400 kHz
1974,500 kHz
1974,715 kHz
1974,740 kHz
1975,1.2 MHz
1975,10 MHz
1975,1 MHz
1975,256 kHz
1975,2 MHz
1975,3.3 MHz
1975,4 MHz
1976,2.5 MHz
1976,3.3 MHz
1976,6.4 MHz
1976,8 MHz
1977,1.0 MHz
1977,2.0 MHz
1977,3.0 MHz
1978,1 MHz
1978,5 MHz
1979,5 MHz
1979,8 MHz
1981,10 MHz
1981,2.5 MHz
1982,18 MHz
1982,1 MHz
1982,6 MHz
1982,8 MHz
1983,2 MHz
1983,3 MHz
1984,16 MHz
1984,5 MHz
1985,12 MHz
1985,5 MHz
1985,8 MHz
1986,15 MHz
1986,16 MHz
1987,10 MHz
1987,12.5 MHz
1987,16 MHz
1987,20 MHz
1987,8 MHz
1988,10 MHz
1988,12 MHz
1988,25 MHz
1989,16-33 MHz
1989,25 MHz
1989,35 MHz
1990,20-30 MHz
1990,40 MHz
1991,100 MHz
1991,33 MHz
1991,62.5-90.91 MHz
1992,100 MHz
1992,100-200 MHz
1992,20 MHz
1992,40 MHz
1992,40-50 MHz
1993,120 MHz
1993,50-80 MHz
1993,55-71.5 MHz
1993,60-66 MHz
1994,100 MHz
1994,100-125 MHz
1994,100-180 MHz
1994,125 MHz
1994,200-300 MHz
1994,50 MHz
1994,60-120 MHz
1994,60-125 MHz
1995,101-118 MHz
1995,143-167 MHz
1995,150-200 MHz
1995,266-333 MHz
1996,141-161 MHz
1996,150 MHz
1996,150-250 MHz
1996,160-180 MHz
1996,180-250 MHz
1996,400-500 MHz
1996,75-100 MHz
1997,120-150 MHz
1997,125 MHz
1997,166-233 MHz
1997,200 MHz
1997,233-300 MHz
1997,233-366 MHz
1997,250-400 MHz
1997,370 MHz
1998,200 MHz
1998,250-300 MHz
1998,250-330 MHz
1998,262 MHz
1998,270-400 MHz
1998,300-440 MHz
1998,450-600 MHz
1998,500 MHz
1999,294-300 MHz
1999,350-500 MHz
1999,450 MHz
1999,450-600 MHz
1999,500-1000 MHz
1999,550-637 MHz
2000,1.33-1.73 GHz
2000,1.3-2 GHz
2000,450-810 MHz
2000,550 MHz-1.3 GHz
2000,600-750 MHz
2000,918 MHz
2001,1.1-1.4 GHz
2001,500-600 MHz
2001,733-800 MHz
2001,750-1200 MHz
2002,0.9-1 GHz
2002,1.1-1.35 GHz
2003,0.9-1.7 GHz
2003,1.4-2.4 GHz
2003,1.6-2.0 GHz
2004,1.65-1.9 GHz
2004,700 MHz
2005,1.05-1.35 GHz
2005,1.2-2.5 GHz
2005,1.6-3.0 GHz
2005,1-1.4 GHz
2005,2.8-3.2 GHz
2005,2-2.4 GHz
2005,3.2 GHz
2006,1.06-2.67 GHz
2006,1.1-2.33 GHz
2006,1.4-1.6 GHz
2006,3.2-4.6 GHz
2007,1.8-3.2 GHz
2007,1-1.4 GHz
2007,2.15-2.4 GHz
2007,3.5-4.7 GHz
2007,600-900 MHz
2007,850 MHz
2008,0.8-1.6 GHz
2008,1.8-2.6 GHz
2008,2.3-2.9 GHz
2008,2.4-2.88 GHz
2008,2.66-3.2 GHz
2008,2.8-4.0 GHz
2008,4.4 GHz
2008,600-866 MHz
2009,2.2-2.8 GHz
2009,2.5-3.2 GHz
2010,1.6 GHz
2010,1.73-2.66 GHz
2010,1.7-2.4 GHz
2010,1.86-3.33 GHz
2010,2.66-3.0 GHz
2010,2 GHz
2010,3.8-5.2 GHz
2010,3-4.14 GHz
2011,1.0-1.6 GHz
2011,1.6 GHz
2011,1.6-3.4 GHz
2011,1.73-2.67 GHz
2011,2.0 GHz
2011,2.8-3 GHz
2011,3.1-3.6 GHz
2012,1.73-2.53 GHz
2012,1.848 GHz
2012,3.1-5.3 GHz
2012,5.5 GHz
2013,1.9-4.4 GHz
2013,2.8-3 GHz
2013,3.6 GHz
2014,1.8-4 GHz
2014,2.5-5 GHz
2015,3.6 GHz
2015,5 GHz
2016,320 MHz
2017,1.5 GHz
2017,3.2-4.1 GHz
2017,4 GHz
2017,5.2 GHz
2017,5 GHz
2018,1.5 GHz
2018,2.2-3.2 GHz
2018,2.8-3.7 GHz
2019,2-4.7 GHz
2019,5.2 GHz
2020,3.2 GHz
2020,3.4-4.9 GHz
2021,3.2 GHz
2022,3.2 GHz
2022,5 GHz
